timestamp,name,symbol,price_usd,vol_24h,total_vol,chg_24h,chg_7d,market_cap
2025-12-16 18:29:27,Cardano,ada,$0.38,"$713,309,743.00",0.34%,-0.27%,-14.48%,"$14,166,128,938"
2025-12-16 18:29:27,Chainlink,link,$12.83,"$719,347,606.00",0.34%,-0.64%,-6.33%,"$8,982,001,778"
2025-12-16 18:29:27,Zcash,zec,$395.15,"$949,909,554.00",0.45%,-3.80%,-6.96%,"$6,494,644,691"
2025-12-16 18:29:27,Sui,sui,$1.51,"$941,787,787.00",0.45%,+1.79%,-6.00%,"$5,625,943,518"
2025-12-16 18:29:27,Dogecoin,doge,$0.13,"$1,383,380,702.00",0.65%,+0.23%,-6.89%,"$19,945,873,403"
2025-12-16 18:29:27,Binance Bridged USDT (BNB Smart Chain),bsc-usd,$1.00,"$1,750,166,685.00",0.83%,-0.39%,-0.32%,"$8,982,728,278"
2025-12-16 18:29:27,BNB,bnb,$869.03,"$1,969,285,128.00",0.93%,+1.91%,-1.82%,"$120,153,779,924"
2025-12-16 18:29:27,XRP,xrp,$1.92,"$3,758,103,260.00",1.78%,+0.12%,-7.05%,"$116,263,907,907"
2025-12-16 18:29:27,Ethereum,eth,"$2,920.07","$29,305,478,241.00",13.86%,-2.74%,-6.25%,"$352,420,968,973"
2025-12-16 18:29:27,Solana,sol,$127.73,"$5,602,345,573.00",2.65%,-0.03%,-3.54%,"$71,857,538,908"
2025-12-16 18:29:27,Bitcoin,btc,"$87,057.00","$56,076,327,653.00",26.53%,+0.34%,-3.57%,"$1,736,927,833,487"
2025-12-16 18:29:27,Tether,usdt,$1.00,"$88,157,470,397.00",41.70%,-0.03%,-0.02%,"$186,298,964,482"
2025-12-16 18:29:27,USDC,usdc,$1.00,"$13,386,772,457.00",6.33%,-0.04%,-0.04%,"$78,280,568,045"
2025-12-16 17:54:38,LEO Token,leo,$9.22,"$440,372.00",0.00%,-1.00%,-3.58%,"$8,500,579,084"
2025-12-16 17:54:38,Figure Heloc,figr_heloc,$1.03,"$11,953,454.00",0.01%,+1.90%,+0.11%,"$14,637,645,730"
2025-12-16 17:54:38,Wrapped Beacon ETH,wbeth,"$3,195.61","$14,786,845.00",0.01%,-4.67%,-6.11%,"$10,434,612,534"
2025-12-16 17:54:38,USDS,usds,$1.00,"$12,496,397.00",0.01%,-0.02%,-0.01%,"$9,905,229,035"
2025-12-16 17:54:38,Wrapped eETH,weeth,"$3,192.72","$20,093,021.00",0.01%,-4.25%,-5.45%,"$8,666,769,711"
